id,Name,Concepts,Elements,Astrological,Deities,imgAlt,imgCaption
70,Moose,"Endurance, intelligence, dignity, feminine, strength, & impulsive / FAAFO",Earth,,,by Ivars Krutainis on Unsplash,"<a href=""https://unsplash.com/@krutainis?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ivars Krutainis</a> on <a href=""https://unsplash.com/s/photos/moose?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
71,Mosquito,"Persistence, feminine, agility, direction, detection, self-confidence, & blunt",Air,,,by Erik Karits on Unsplash,"<a href=""https://unsplash.com/@erik_karits?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Erik Karits</a> on <a href=""https://unsplash.com/s/photos/mosquito?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
72,Mouse,"Stealth, modesty, understanding, dishonest, grounded, eye-for-details, & innocence",Earth,,,by Joshua J. Cotten on Unsplash,"<a href=""https://unsplash.com/@jcotten?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Joshua J. Cotten</a> on <a href=""https://unsplash.com/s/photos/mouse?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
73,Opossum,"Wisdom, sensible, humble, togetherness, extraordinary, & decisive",Earth,,,by Robert Linder on Unsplash,"<a href=""https://unsplash.com/@rwlinder?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Robert Linder</a> on <a href=""https://unsplash.com/s/photos/opossum?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
74,Orangutan,"Creativity, gentle, solitude, ingenuity, honorable, & logical",Earth,,,by Dimitry B on Unsplash,"<a href=""https://unsplash.com/es/@dimitry_b?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Dimitry B</a> on <a href=""https://unsplash.com/s/photos/orangutan?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
75,Osprey,"Balance, visionary, potentiality, rigor, timing, & opportunity",Air,,,by Mathew Schwartz on Unsplash,"<a href=""https://unsplash.com/@cadop?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mathew Schwartz</a> on <a href=""https://unsplash.com/s/photos/osprey?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
76,Otter,"Lively, cheerful, kindness, sensibility, dynamic, happiness, & playfulness",Water,,,by Ray Harrington on Unsplash,"<a href=""https://unsplash.com/@raymondo600?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ray Harrington</a> on <a href=""https://unsplash.com/s/photos/otter?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
77,Owl,"Wisdom, secret-keeper, freedom, comfort, stealth, vision, protection, deception, intuition, impending change, & the goddess Athena",Air,,Athena,by Sonder Quest on Unsplash,"<a href=""https://unsplash.com/@sonderquest?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Sonder Quest</a> on <a href=""https://unsplash.com/s/photos/owl?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
78,Ox,"Sacrifice, monogamy, grounded, longevity, strength, & loyalty",Earth,Ox (Chinese),,by Ana Cernivec on Unsplash,"<a href=""https://unsplash.com/@the_equanimous?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ana Cernivec</a> on <a href=""https://unsplash.com/s/photos/ox?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
79,Panda,"Adaptability, balance, determination, willpower, diplomacy, inner-sight, gentle strength, peace, good luck, & solitude",Earth,,,by Debbie Molle on Unsplash,"<a href=""https://unsplash.com/@djmle29n?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Debbie Molle</a> on <a href=""https://unsplash.com/s/photos/panda?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
80,Panther,"Courage, valor, power, protective, aggressive, astral travel, guardian,death, rebirth, & feminine",Earth,,,by Ash Edmonds on Unsplash,"<a href=""https://unsplash.com/@badashphotos?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ash Edmonds</a> on <a href=""https://unsplash.com/s/photos/panther?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
81,Peacock,"Beauty, knowledge, self-esteem, foresight, endurance, royalty, love, sexuality, rebirth, & the goddess Hera","Air, Earth, Water",,Hera,by Lorisha Buhler Ferrara on Unsplash,"<a href=""https://unsplash.com/@lorishabuhlerphotography?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Lorisha Buhler Ferrara</a> on <a href=""https://unsplash.com/s/photos/peacock?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
82,Pellican,"Strong, selfless, warmth, responsible, defensive, & kindness","Earth, Water",,,by Vasilis Caravitis on Unsplash,"<a href=""https://unsplash.com/@epicuros?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Vasilis Caravitis</a> on <a href=""https://unsplash.com/s/photos/pellican?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
83,Penguin,"Community-minded, grace, discipline, confidence, sacrifice, spiritual, & determination","Earth, Water",,,by Paul Carroll on Unsplash,"<a href=""https://unsplash.com/@mudmanuk?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Paul Carroll</a> on <a href=""https://unsplash.com/s/photos/penguin?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
84,Porcupine,"Innocence, visionary, self-involved, humble, togetherness, anxious, & defensive",Earth,,,by Dusan veverkolog on Unsplash,"<a href=""https://unsplash.com/@veverkolog?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Dusan veverkolog</a> on <a href=""https://unsplash.com/s/photos/porcupine?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
85,Rabbit,"Creativity, prosperity, intensity, love, cleverness, sensitivity, harmony, fear, & imagination",Earth,Rabbit (Chinese),,by Gary Bendig on Unsplash,"<a href=""https://unsplash.com/@kris_ricepees?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Gary Bendig</a> on <a href=""https://unsplash.com/s/photos/rabbit?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
86,Raccoon,"Confidentiality, illusion, bravery, emphatic, versitility, protection, & ingenuity",Earth,,,by Henry Dinardo on Unsplash,"<a href=""https://unsplash.com/@gradybaby?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Henry Dinardo</a> on <a href=""https://unsplash.com/s/photos/raccoon?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
87,Ram,"Aloof, sensitive, hard-working, anxious, visionary, transformation, & hard-headed",Earth,Aries,,by Paxson Woelber on Unsplash,"<a href=""https://unsplash.com/@paxsonwoelber?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Paxson Woelber</a> on <a href=""https://unsplash.com/s/photos/ram?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
88,Rat,"Kindness, fertility, foresight, intelligence, abundance, strength, success, & stealth",Earth,Rat (Chinese),,by Brett Jordan on Unsplash,"<a href=""https://unsplash.com/fr/@brett_jordan?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Brett Jordan</a> on <a href=""https://unsplash.com/s/photos/rat?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
89,Raven,"Magical, fearless, adaptability, manipulative, wisdom, transformation, trickster, destiny, intelligence, flexibility, death, & the god Odin",Air,,"Odin, Morrigan",by Meg Jerrard on Unsplash,"<a href=""https://unsplash.com/es/@mappingmegantravel?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Meg Jerrard</a> on <a href=""https://unsplash.com/s/photos/raven?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
90,Reindeer,"Accomplishment, abundance, endurance, strength, faith, tenacity, & protection",Earth,,,by Nicolas Lafargue on Unsplash,"<a href=""https://unsplash.com/@nicolaslafargue?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Nicolas Lafargue</a> on <a href=""https://unsplash.com/s/photos/reindeer?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
91,Rhinoceros,"Intelligence, isolated, decisive, endurance, liberated, & insightful",Earth,,,by Nicole Wreyford on Unsplash,"<a href=""https://unsplash.com/@nicolewreyford?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Nicole Wreyford</a> on <a href=""https://unsplash.com/s/photos/rhino?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
92,Rooster,"Fearless, unique, intimacy, ego, nonconformity, & intrusive",Earth,,,by David Brooke Martin on Unsplash,"<a href=""https://unsplash.com/@dbmartin00?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">David Brooke Martin</a> on <a href=""https://unsplash.com/s/photos/rooster?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
93,Salmon,"Dignity, seriousness, intelligence, resurgence, spiritual, & firmness",Water,,,by Brandon on Unsplash,"<a href=""https://unsplash.com/@greener_30?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Brandon</a> on <a href=""https://unsplash.com/s/photos/salmon?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
94,Scorpion,"Transformation, wilpower, determination, independence, solitude, aggression, protection, self-confidence, self-control, intelligence, success, ambition, & trickster",Earth,Scorpio,,by Sina Katirachi on Unsplash,"<a href=""https://unsplash.com/@sinaktc?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Sina Katirachi</a> on <a href=""https://unsplash.com/s/photos/scorpion?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
95,Sheep,"Compassion, peace, purity, courage, progress, level-headed, conformity, & humble",Earth,,,by Yoonbae Cho on Unsplash,"<a href=""https://unsplash.com/@yoonbae81?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Yoonbae Cho</a> on <a href=""https://unsplash.com/s/photos/sheep?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
96,Snake,"Impulsive, power, shrewdness, transformation, magic, fear, wisdom, & healing",Earth,,Loki,by Stijn Swinnen on Unsplash,"<a href=""https://unsplash.com/@stijnswinnen?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Stijn Swinnen</a> on <a href=""https://unsplash.com/s/photos/rat-snake?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
97,Spider,"Patience, creativity, protection, growth, aptitude, networking, balance, wisdom, receptivity, feminine, shadow self, & the god Loki","Air, Earth, Fire, Water",,Loki,by Ed van duijn on Unsplash,"<a href=""https://unsplash.com/@eddyvanduijn?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ed van duijn</a> on <a href=""https://unsplash.com/s/photos/spider?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
98,Squirrel,"Playful, social, balance, passionate, trust, hardworking, & resourcefulness","Air, Earth",,,by Caleb Martin on Unsplash,"<a href=""https://unsplash.com/@cmart10?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Caleb Martin</a> on <a href=""https://unsplash.com/s/photos/squirrel?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
99,Stork,"Resurgence, creativity, responsibility, boldness, protective, & fertility","Air, Water",,,by Janet on Unsplash,"<a href=""https://unsplash.com/@janetab?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Janet</a> on <a href=""https://unsplash.com/s/photos/stork?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
100,Swan,"Grave, purity, love, beauty, power, elegance, devotion, calmness, & balance","Air, Water",,,by Siim Lukka on Unsplash,"<a href=""https://unsplash.com/@siimlukka?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Siim Lukka</a> on <a href=""https://unsplash.com/s/photos/swan?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
101,Tarantula,"Creativity, patience, self-protections, transformation, & intimidation",Earth,,,by Julian Schultz on Unsplash,"<a href=""https://unsplash.com/@majorfluff?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Julian Schultz</a> on <a href=""https://unsplash.com/s/photos/spider?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
102,Tiger,"Valor, power, pride, devotion, fearlessness, vigor, passion, willpower, strength, courage, shadow self, aggression, unpredictability, & royalty",Earth,Tiger (Chinese),,by Kartik Iyer on Unsplash,"<a href=""https://unsplash.com/@fit_foodie_fotographer?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Kartik Iyer</a> on <a href=""https://unsplash.com/s/photos/tiger?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
103,Turkey,"Gratification, generosity, connection, togetherness, hard-working, abundance, community, sharing, harvest, satisfaction, & wealth","Air, Earth",,,by Meelika Marzzarella on Unsplash,"<a href=""https://unsplash.com/@moonlitlens?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Meelika Marzzarella</a> on <a href=""https://unsplash.com/s/photos/turkey-bird?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
104,Turtle,"Wisdom, patience, speed, endurance, fertility, longevity, protection, peace, Earth/the world, grounded, determination, persistence, & Turtle Island","Earth, Water",,,by Melissa Keizer on Unsplash,"<a href=""https://unsplash.com/@keizgoesboom?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Melissa Keizer</a> on <a href=""https://unsplash.com/s/photos/turtle?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
105,Unicorn,"Magic, love, fath, vision, innocence, purity, gentleness, & grace","Air, Earth, Fire, Water",,,by sabinja from Pixabay,"<a href=""https://pixabay.com/users/sabinja-5571472/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2456525"">sabinja</a> from <a href=""https://pixabay.com//?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2456525"">Pixabay</a>"
106,Vulture,"Loyalty, patience, quick-witted, goal-oriented, trust, vision, & perception","Air, Earth",,,by Photos By Beks on Unsplash,"<a href=""https://unsplash.com/@photosbybeks?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Photos By Beks</a> on <a href=""https://unsplash.com/s/photos/vulture?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
107,Wasp,"Aggressive, creative, fertility, intelligence, teamwork, enthusiasm, determination, & self-protection",Air,,,by USGS on Unsplash,"<a href=""https://unsplash.com/es/@usgs?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">USGS</a> on <a href=""https://unsplash.com/s/photos/wasp?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
108,Whale,"Wisdom, power, strength, self-reliance, protection, bravery, healing, family, community, emotional rebirth,communication, & ancestry",Water,,,by Todd Cravens on Unsplash,"<a href=""https://unsplash.com/@toddcravens?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Todd Cravens</a> on <a href=""https://unsplash.com/s/photos/whale?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
109,Wolf,"Protection, partnership, loyalty, compassion, spirituality, togetherness, intelligence, freedom, & power",Earth,,,by Eva Blue on Unsplash,"<a href=""https://unsplash.com/@evablue?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Eva Blue</a> on <a href=""https://unsplash.com/s/photos/wolf?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
110,Woodpecker,"Intelligence, healing, unique, connection, revelation, & perception",Air,,,by James Wainscoat on Unsplash,"<a href=""https://unsplash.com/@tumbao1949?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">James Wainscoat</a> on <a href=""https://unsplash.com/s/photos/woodpecker?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
